"path","section","type","priority","indexable","title","wordCount","minimumWords","targetWords","directAnswerWords","sections","faqs","citations","genericCitations","stats","quotes","internalLinks","templateRisk","placeholderRisk","score","grade","action"
"/blog/changing-lines-i-ching","Blog","blog","no","no","Changing Lines in the I Ching: What They Mean","354","800","1800-2800","49","4","4","1","1","4","0","6","low","no","62","C","expand"
"/blog/chinese-zodiac-2026-forecast","Blog","blog","no","no","Chinese Zodiac 2026 Forecast: What to Expect for All 12 Animals","550","800","1800-2800","41","4","3","2","0","3","0","3","low","no","73","B","expand"
"/blog/chinese-zodiac-compatibility-chart","Blog","blog","no","yes","Chinese Zodiac Compatibility Chart: Triads & Clashes","797","800","1800-2800","50","7","4","2","0","3","0","7","low","no","86","A","expand"
"/blog/chinese-zodiac-compatibility-guide","Blog","blog","no","no","Chinese Zodiac Compatibility: Harmony, Triads, and Clashes","303","800","1800-2800","46","4","4","2","2","4","0","3","medium","no","58","C","expand"
"/blog/day-master-bazi-complete-guide","Blog","blog","no","yes","Bazi Day Master Is the Day Stem: Meaning & Sources","843","800","1800-2800","62","5","5","2","0","4","0","15","low","no","88","A","monitor"
"/blog/day-master-meaning","Blog","blog","no","no","What Your Day Master Means in Bazi","322","800","1800-2800","51","4","4","2","2","4","0","3","medium","no","59","C","expand"
"/blog/earthly-branches-hidden-stems","Blog","blog","no","no","Earthly Branches and Hidden Stems Explained","638","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/eight-trigrams-meaning","Blog","blog","no","no","Eight Trigrams: The Building Blocks of the I Ching","644","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/feng-shui-home-basics","Blog","blog","no","no","Feng Shui Home Basics: Flow, Support, and Function","642","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/fire-element-visibility","Blog","blog","no","no","Fire Element in Work and Relationships","638","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/five-elements-personality-test","Blog","blog","no","no","The Five Elements Personality Test: Which Element Are You?","496","800","1800-2800","43","4","3","2","0","3","0","1","low","no","68","C","expand"
"/blog/front-door-feng-shui","Blog","blog","no","no","Front Door Feng Shui: The Mouth of Qi Explained","644","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/heavenly-stems-beginner-guide","Blog","blog","no","no","Heavenly Stems: The 10 Visible Energies in Bazi","643","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/hexagram-1-creative-modern-reading","Blog","blog","no","no","Hexagram 1, The Creative: A Modern Reading","639","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/hexagram-2-receptive-modern-reading","Blog","blog","no","no","Hexagram 2, The Receptive: A Modern Reading","639","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/how-to-cast-i-ching-coins","Blog","blog","no","no","How to Cast the I Ching with Three Coins","643","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/how-to-read-a-bazi-chart","Blog","blog","no","no","How to Read a Bazi Chart Without Getting Overwhelmed","341","800","1800-2800","51","4","4","2","2","4","0","3","medium","no","60","C","expand"
"/blog/i-ching-beginners-reading-guide","Blog","blog","no","yes","How to Cast and Read an I Ching Hexagram: A Beginner's Reading Guide","792","800","1800-2800","52","6","4","2","0","4","0","8","low","no","88","A","expand"
"/blog/i-ching-for-beginners","Blog","blog","no","no","I Ching for Beginners: How to Ask a Clear Question","334","800","1800-2800","47","4","4","1","1","4","0","7","low","no","61","C","expand"
"/blog/luck-pillars-life-cycles","Blog","blog","no","no","Luck Pillars in Bazi: How 10-Year Cycles Work","640","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/office-desk-feng-shui","Blog","blog","no","no","Office Desk Feng Shui: Command Position and Focus","642","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/rat-and-horse-clash","Blog","blog","no","no","Rat and Horse Clash: What It Means in the Zodiac","642","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/ten-gods-bazi-relationships","Blog","blog","no","no","Ten Gods in Bazi: Relationship Roles Made Simple","641","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/what-is-bazi","Blog","blog","no","no","What Is Bazi? Beginner's Guide to the Four Pillars of Destiny (八字)","1031","800","1800-2800","46","5","5","3","0","3","0","1","low","no","84","B","monitor"
"/blog/wood-element-career-style","Blog","blog","no","no","Wood Element Career Style: Growth, Planning, and Direction","640","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/year-of-the-horse-2026-guide","Blog","blog","no","no","Year of the Horse 2026: What the Symbol Suggests","640","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/ziwei-12-palaces","Blog","blog","no","no","The 12 Ziwei Palaces: What Each Life Area Means","641","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/ziwei-doushu-beginners","Blog","blog","no","no","Ziwei Doushu for Beginners: Stars, Palaces, and Timing","640","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/ziwei-life-palace-meaning","Blog","blog","no","no","Life Palace in Ziwei: Why It Anchors the Chart","643","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/blog/ziwei-major-stars-overview","Blog","blog","no","no","14 Major Ziwei Stars: A Beginner Overview","642","800","1800-2800","50","5","3","2","2","4","0","3","high","no","60","C","expand"
"/chinese-zodiac","Chinese Zodiac","hub","yes","yes","Chinese Zodiac: 12 Animal Signs, Meanings, and 2026 Guide","1536","1500","2500-3500","47","7","5","4","0","8","0","21","low","no","92","A","monitor"
"/chinese-zodiac/2026-forecast","Chinese Zodiac","knowledge","yes","yes","2026 Chinese Zodiac Forecast: Year of the Fire Horse","1188","1200","1200-2500","53","6","5","3","0","4","0","3","low","no","90","A","expand"
"/chinese-zodiac/compatibility","Chinese Zodiac","knowledge","yes","no","Chinese Zodiac Compatibility: Best Matches and Clash Pairs","749","1200","1200-2500","43","5","5","2","0","3","0","3","low","no","75","B","expand"
"/feng-shui","Feng Shui","hub","yes","yes","Feng Shui: Complete Beginner Guide","1491","1500","2500-3500","54","9","5","2","0","6","0","4","low","no","88","A","expand"
"/feng-shui/bagua-map","Feng Shui","knowledge","no","no","Bagua Map in Feng Shui: Eight Areas Explained","393","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/eight-mansions","Feng Shui","knowledge","no","no","Eight Mansions Feng Shui: Directions and Personal Gua","394","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/five-elements","Feng Shui","knowledge","no","no","Five Elements in Feng Shui: Wood, Fire, Earth, Metal, Water","396","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/flying-stars","Feng Shui","knowledge","no","no","Flying Stars Feng Shui: Timing and Space","393","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/home/bedroom","Feng Shui","knowledge","yes","no","Bedroom Feng Shui: Layout, Bed Position, and Rest","392","1200","1200-2500","51","5","5","2","0","3","0","5","high","no","59","C","expand"
"/feng-shui/home/front-door","Feng Shui","knowledge","yes","no","Front Door Feng Shui: The Mouth of Qi","392","1200","1200-2500","51","5","5","2","0","3","0","5","high","no","59","C","expand"
"/feng-shui/home/garden","Feng Shui","knowledge","no","no","Garden Feng Shui: Pathways, Plants, and Outdoor Qi","395","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/home/kitchen","Feng Shui","knowledge","no","no","Kitchen Feng Shui: Fire, Nourishment, and Layout","390","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/home/living-room","Feng Shui","knowledge","no","no","Living Room Feng Shui: Flow, Seating, and Welcome","393","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/home/study","Feng Shui","knowledge","no","no","Study Feng Shui: Desk Focus and Learning Support","392","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/luo-pan-compass","Feng Shui","knowledge","no","no","Luo Pan Compass: Feng Shui Direction Tool","393","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/office/company-entrance","Feng Shui","knowledge","no","no","Company Entrance Feng Shui: Reception and Flow","390","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/office/desk","Feng Shui","knowledge","no","no","Office Desk Feng Shui: Command Position and Focus","392","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/office/meeting-room","Feng Shui","knowledge","no","no","Meeting Room Feng Shui: Collaboration and Clarity","390","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/office/wealth-corner","Feng Shui","knowledge","no","no","Office Wealth Corner Feng Shui: Practical Use","393","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/qi-flow","Feng Shui","knowledge","no","no","Qi Flow in Feng Shui: How Space Moves Energy","397","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/what-is-feng-shui","Feng Shui","knowledge","no","no","What Is Feng Shui? Meaning and Method","395","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/feng-shui/yin-yang-balance","Feng Shui","knowledge","no","no","Yin-Yang Balance in Feng Shui","390","650","1200-2500","51","5","5","2","0","3","0","5","high","no","66","C","expand"
"/i-ching","I Ching","hub","yes","yes","I Ching (Book of Changes): Complete Guide","1518","1500","2500-3500","61","9","4","2","0","21","0","10","low","no","88","A","monitor"
"/learn","Learn","hub","no","no","Learn Chinese Metaphysics: Bazi, I Ching & Feng Shui Roadmap","1081","1000","2500-3500","61","6","4","5","0","4","0","12","low","no","92","A","monitor"
"/learn/beginners-guide","Learn","knowledge","yes","no","Chinese Metaphysics Beginner's Guide: A Four-Week Path","1289","1200","1200-2500","58","8","4","5","0","4","0","5","low","no","92","A","monitor"
"/learn/chinese-vs-western-astrology","Learn","knowledge","no","no","Chinese vs Western Astrology: Key Differences","1328","650","1200-2500","61","8","4","5","0","5","0","5","low","no","92","A","monitor"
"/learn/common-misconceptions","Learn","knowledge","no","no","Common Misconceptions About Chinese Metaphysics","1269","650","1200-2500","65","8","4","5","0","6","0","4","low","no","92","A","monitor"
"/learn/resources","Learn","knowledge","no","no","Chinese Metaphysics Books & Source Evaluation Guide","1083","650","1200-2500","60","7","4","7","0","4","0","8","low","no","92","A","monitor"
"/learn/which-system","Learn","knowledge","yes","no","Which Chinese Metaphysics System Should You Learn?","1267","1200","1200-2500","60","8","4","5","0","4","0","8","low","no","92","A","monitor"
"/ziwei","Ziwei","hub","yes","yes","Ziwei Doushu: Purple Star Astrology Guide","1501","1500","2500-3500","57","9","5","2","0","6","0","3","low","no","86","A","monitor"
"/ziwei/body-palace","Ziwei","knowledge","no","no","Body Palace in Ziwei Doushu: Action and Embodiment","372","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/four-transformations","Ziwei","knowledge","no","no","Four Transformations (Si Hua) in Ziwei Doushu","369","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/life-palace","Ziwei","knowledge","no","no","Life Palace in Ziwei Doushu: Meaning and Use","370","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/major-stars","Ziwei","knowledge","yes","no","14 Major Stars in Ziwei Doushu: Overview","369","1200","1200-2500","52","5","5","2","0","3","0","7","high","no","59","C","expand"
"/ziwei/major-stars/jumen","Ziwei","knowledge","no","no","Jumen Star in Ziwei Doushu","369","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/major-stars/lianzhen","Ziwei","knowledge","no","no","Lianzhen Star in Ziwei Doushu","367","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/major-stars/pojun","Ziwei","knowledge","no","no","Pojun Star in Ziwei Doushu","369","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/major-stars/qisha","Ziwei","knowledge","no","no","Qisha Star in Ziwei Doushu","368","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/major-stars/taiyang","Ziwei","knowledge","no","no","Taiyang Star in Ziwei Doushu","369","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/major-stars/taiyin","Ziwei","knowledge","no","no","Taiyin Star in Ziwei Doushu","368","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/major-stars/tanlang","Ziwei","knowledge","no","no","Tanlang Star in Ziwei Doushu","370","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/major-stars/tianfu","Ziwei","knowledge","no","no","Tianfu Star in Ziwei Doushu","367","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/major-stars/tianji","Ziwei","knowledge","no","no","Tianji Star in Ziwei Doushu","367","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/major-stars/tianliang","Ziwei","knowledge","no","no","Tianliang Star in Ziwei Doushu","368","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/major-stars/tiantong","Ziwei","knowledge","no","no","Tiantong Star in Ziwei Doushu","369","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/major-stars/tianxiang","Ziwei","knowledge","no","no","Tianxiang Star in Ziwei Doushu","367","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/major-stars/wuqu","Ziwei","knowledge","no","no","Wuqu Star in Ziwei Doushu","369","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/major-stars/ziwei-star","Ziwei","knowledge","no","no","Ziwei Star in Purple Star Astrology","368","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/minor-stars","Ziwei","knowledge","no","no","Minor Stars in Ziwei Doushu: Support and Detail","371","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/palaces/career-palace","Ziwei","knowledge","no","no","Career Palace in Ziwei Doushu","367","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/palaces/children-palace","Ziwei","knowledge","no","no","Children Palace in Ziwei Doushu","367","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/palaces/friends-palace","Ziwei","knowledge","no","no","Friends Palace in Ziwei Doushu","367","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/palaces/health-palace","Ziwei","knowledge","no","no","Health Palace in Ziwei Doushu","368","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/palaces/life-palace","Ziwei","knowledge","no","no","Life Palace in Ziwei Doushu","367","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/palaces/mental-palace","Ziwei","knowledge","no","no","Fortune Palace in Ziwei Doushu","367","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/palaces/parents-palace","Ziwei","knowledge","no","no","Parents Palace in Ziwei Doushu","368","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/palaces/property-palace","Ziwei","knowledge","no","no","Property Palace in Ziwei Doushu","368","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/palaces/siblings-palace","Ziwei","knowledge","no","no","Siblings Palace in Ziwei Doushu","368","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/palaces/spouse-palace","Ziwei","knowledge","no","no","Spouse Palace in Ziwei Doushu","368","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/palaces/travel-palace","Ziwei","knowledge","no","no","Travel Palace in Ziwei Doushu","367","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/palaces/wealth-palace","Ziwei","knowledge","no","no","Wealth Palace in Ziwei Doushu","369","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/reading-chart","Ziwei","knowledge","no","no","How to Read a Ziwei Doushu Chart","370","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/twelve-palaces","Ziwei","knowledge","yes","no","The 12 Ziwei Palaces: Complete Beginner Guide","370","1200","1200-2500","52","5","5","2","0","3","0","7","high","no","59","C","expand"
"/ziwei/what-is-ziwei-doushu","Ziwei","knowledge","no","no","What Is Ziwei Doushu? Purple Star Astrology Explained","373","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/ziwei-compatibility","Ziwei","knowledge","no","no","Ziwei Compatibility: Reading Relationship Palaces","368","650","1200-2500","52","5","5","2","0","3","0","7","high","no","65","C","expand"
"/ziwei/ziwei-vs-bazi","Ziwei","knowledge","yes","no","Ziwei vs Bazi: Key Differences for Beginners","369","1200","1200-2500","52","5","5","2","0","3","0","7","high","no","59","C","expand"
