"path","section","title","score","grade","action","reason"
"/bazi/celebrity/elon-musk","Bazi","Elon Musk Bazi Case Study","65","C","expand","word count 305/650; high template risk"
"/bazi/celebrity/taylor-swift","Bazi","Taylor Swift Bazi Case Study","65","C","expand","word count 306/650; high template risk"
"/bazi/faq","Bazi","Bazi FAQ: Common Four Pillars Questions","65","C","expand","word count 309/650; high template risk"
"/bazi/glossary","Bazi","Bazi Glossary: Chinese Metaphysics Terms","65","C","expand","word count 307/650; high template risk"
"/bazi/health","Bazi","Bazi Health Tendencies: Element Balance and Lifestyle Signals","65","C","expand","word count 308/650; high template risk"
"/bazi/relationships","Bazi","Bazi Relationship Analysis: Compatibility and Patterns","65","C","expand","word count 304/650; high template risk"
"/chinese-zodiac/compatibility","Chinese Zodiac","Chinese Zodiac Compatibility: Best Matches and Clash Pairs","67","C","expand","word count 752/1200"
"/ziwei/body-palace","Ziwei","Body Palace in Ziwei Doushu: Action and Embodiment","69","C","expand","word count 372/650; high template risk"
"/ziwei/four-transformations","Ziwei","Four Transformations (Si Hua) in Ziwei Doushu","69","C","expand","word count 369/650; high template risk"
"/ziwei/life-palace","Ziwei","Life Palace in Ziwei Doushu: Meaning and Use","69","C","expand","word count 370/650; high template risk"
"/ziwei/major-stars/jumen","Ziwei","Jumen Star in Ziwei Doushu","69","C","expand","word count 369/650; high template risk"
"/ziwei/major-stars/lianzhen","Ziwei","Lianzhen Star in Ziwei Doushu","69","C","expand","word count 367/650; high template risk"
"/ziwei/major-stars/pojun","Ziwei","Pojun Star in Ziwei Doushu","69","C","expand","word count 369/650; high template risk"
"/ziwei/major-stars/qisha","Ziwei","Qisha Star in Ziwei Doushu","69","C","expand","word count 368/650; high template risk"
"/ziwei/major-stars/taiyang","Ziwei","Taiyang Star in Ziwei Doushu","69","C","expand","word count 369/650; high template risk"
"/ziwei/major-stars/taiyin","Ziwei","Taiyin Star in Ziwei Doushu","69","C","expand","word count 368/650; high template risk"
"/ziwei/major-stars/tanlang","Ziwei","Tanlang Star in Ziwei Doushu","69","C","expand","word count 370/650; high template risk"
"/ziwei/major-stars/tianfu","Ziwei","Tianfu Star in Ziwei Doushu","69","C","expand","word count 367/650; high template risk"
"/ziwei/major-stars/tianji","Ziwei","Tianji Star in Ziwei Doushu","69","C","expand","word count 367/650; high template risk"
"/ziwei/major-stars/tianliang","Ziwei","Tianliang Star in Ziwei Doushu","69","C","expand","word count 368/650; high template risk"
"/ziwei/major-stars/tiantong","Ziwei","Tiantong Star in Ziwei Doushu","69","C","expand","word count 369/650; high template risk"
"/ziwei/major-stars/tianxiang","Ziwei","Tianxiang Star in Ziwei Doushu","69","C","expand","word count 367/650; high template risk"
"/ziwei/major-stars/wuqu","Ziwei","Wuqu Star in Ziwei Doushu","69","C","expand","word count 369/650; high template risk"
"/ziwei/major-stars/ziwei-star","Ziwei","Ziwei Star in Purple Star Astrology","69","C","expand","word count 368/650; high template risk"
"/ziwei/minor-stars","Ziwei","Minor Stars in Ziwei Doushu: Support and Detail","69","C","expand","word count 371/650; high template risk"
"/ziwei/palaces/career-palace","Ziwei","Career Palace in Ziwei Doushu","69","C","expand","word count 367/650; high template risk"
"/ziwei/palaces/children-palace","Ziwei","Children Palace in Ziwei Doushu","69","C","expand","word count 367/650; high template risk"
"/ziwei/palaces/friends-palace","Ziwei","Friends Palace in Ziwei Doushu","69","C","expand","word count 367/650; high template risk"
"/ziwei/palaces/health-palace","Ziwei","Health Palace in Ziwei Doushu","69","C","expand","word count 368/650; high template risk"
"/ziwei/palaces/life-palace","Ziwei","Life Palace in Ziwei Doushu","69","C","expand","word count 367/650; high template risk"
"/ziwei/palaces/mental-palace","Ziwei","Fortune Palace in Ziwei Doushu","69","C","expand","word count 367/650; high template risk"
"/ziwei/palaces/parents-palace","Ziwei","Parents Palace in Ziwei Doushu","69","C","expand","word count 368/650; high template risk"
"/ziwei/palaces/property-palace","Ziwei","Property Palace in Ziwei Doushu","69","C","expand","word count 368/650; high template risk"
"/ziwei/palaces/siblings-palace","Ziwei","Siblings Palace in Ziwei Doushu","69","C","expand","word count 368/650; high template risk"
"/ziwei/palaces/spouse-palace","Ziwei","Spouse Palace in Ziwei Doushu","69","C","expand","word count 368/650; high template risk"
"/ziwei/palaces/travel-palace","Ziwei","Travel Palace in Ziwei Doushu","69","C","expand","word count 367/650; high template risk"
"/ziwei/palaces/wealth-palace","Ziwei","Wealth Palace in Ziwei Doushu","69","C","expand","word count 369/650; high template risk"
"/ziwei/reading-chart","Ziwei","How to Read a Ziwei Doushu Chart","69","C","expand","word count 370/650; high template risk"
"/ziwei/what-is-ziwei-doushu","Ziwei","What Is Ziwei Doushu? Purple Star Astrology Explained","69","C","expand","word count 373/650; high template risk"
"/ziwei/ziwei-compatibility","Ziwei","Ziwei Compatibility: Reading Relationship Palaces","69","C","expand","word count 368/650; high template risk"
"/feng-shui/bagua-map","Feng Shui","Bagua Map in Feng Shui: Eight Areas Explained","70","B","expand","word count 393/650; high template risk"
"/feng-shui/eight-mansions","Feng Shui","Eight Mansions Feng Shui: Directions and Personal Gua","70","B","expand","word count 394/650; high template risk"
"/feng-shui/five-elements","Feng Shui","Five Elements in Feng Shui: Wood, Fire, Earth, Metal, Water","70","B","expand","word count 396/650; high template risk"
"/feng-shui/flying-stars","Feng Shui","Flying Stars Feng Shui: Timing and Space","70","B","expand","word count 393/650; high template risk"
"/feng-shui/home/garden","Feng Shui","Garden Feng Shui: Pathways, Plants, and Outdoor Qi","70","B","expand","word count 395/650; high template risk"
"/feng-shui/home/kitchen","Feng Shui","Kitchen Feng Shui: Fire, Nourishment, and Layout","70","B","expand","word count 390/650; high template risk"
"/feng-shui/home/living-room","Feng Shui","Living Room Feng Shui: Flow, Seating, and Welcome","70","B","expand","word count 393/650; high template risk"
"/feng-shui/home/study","Feng Shui","Study Feng Shui: Desk Focus and Learning Support","70","B","expand","word count 392/650; high template risk"
"/feng-shui/luo-pan-compass","Feng Shui","Luo Pan Compass: Feng Shui Direction Tool","70","B","expand","word count 393/650; high template risk"
"/feng-shui/office/company-entrance","Feng Shui","Company Entrance Feng Shui: Reception and Flow","70","B","expand","word count 390/650; high template risk"
"/feng-shui/office/desk","Feng Shui","Office Desk Feng Shui: Command Position and Focus","70","B","expand","word count 392/650; high template risk"
"/feng-shui/office/meeting-room","Feng Shui","Meeting Room Feng Shui: Collaboration and Clarity","70","B","expand","word count 390/650; high template risk"
"/feng-shui/office/wealth-corner","Feng Shui","Office Wealth Corner Feng Shui: Practical Use","70","B","expand","word count 393/650; high template risk"
"/feng-shui/qi-flow","Feng Shui","Qi Flow in Feng Shui: How Space Moves Energy","70","B","expand","word count 397/650; high template risk"
